,HW,AW,D,gammaHome,DaysSinceLastMatchRate,HTW_rate,HTD_rate,HTL_rate,ATW_rate,ATD_rate,ATL_rate,HTHW_rate,HTHD_rate,HTHL_rate,ATAW_rate,ATAD_rate,ATAL_rate,1_last_HTR,2_last_HTR,1_last_ATR,2_last_ATR,1_last_HTHR,2_last_HTHR,1_last_ATAR,2_last_ATAR,7_HTW_rate,12_HTW_rate,7_ATW_rate,12_ATW_rate,7_HTL_rate,12_HTL_rate,7_ATL_rate,12_ATD_rate,7_HTD_rate,12_HTD_rate,7_ATD_rate,7_ATD_rate,5_HTHW_rate,5_ATAW_rate,1_last_HTRisW,1_last_HTRisD,1_last_HTRisL,2_last_HTRisW,2_last_HTRisD,2_last_HTRisL,1_last_ATRisW,1_last_ATRisD,1_last_ATRisL,2_last_ATRisW,2_last_ATRisD,2_last_ATRisL,1_last_HTHRisW,1_last_HTHRisD,1_last_HTHRisL,2_last_HTHRisW,2_last_HTHRisD,2_last_HTHRisL,1_last_ATARisW,1_last_ATARisD,1_last_ATARisL,2_last_ATARisW,2_last_ATARisD,2_last_ATARisL
32,1,0,0,0.5139503873739333,0.6842105263157895,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.5,0.0,0.5,0.5,0.0,0.5,D,W,W,D,W,,W,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
33,0,1,0,0.48886793332432144,1.0,0.5,0.0,0.5,0.5,0.25,0.25,0.5,0.0,0.5,0.5,0.0,0.5,W,W,D,W,W,,W,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
34,0,1,0,0.5011802028249471,1.0,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.0,0.5,0.0,0.5,0.5,L,W,L,D,W,,D,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
35,1,0,0,0.4724515201187738,1.0,0.25,0.0,0.75,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,W,L,W,L,L,,L,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
36,0,0,1,0.5020195882441583,1.0769230769230769,0.25,0.0,0.75,0.25,0.0,0.75,0.0,0.0,1.0,0.5,0.0,0.5,W,L,L,W,L,,W,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
37,0,1,0,0.5016193124592354,1.0,0.25,0.0,0.75,0.25,0.0,0.75,0.5,0.0,0.5,0.5,0.0,0.5,L,W,L,W,W,,W,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
38,0,1,0,0.4728467428749135,1.0,0.0,0.25,0.75,0.25,0.25,0.5,0.0,0.0,1.0,0.0,0.0,1.0,D,L,D,L,L,,L,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
39,1,0,0,0.5128632623560869,1.0,0.4,0.0,0.6,0.2,0.2,0.6,0.6666666666666666,0.0,0.33333333333333337,0.0,0.3333333333333333,0.6666666666666667,L,W,L,L,W,W,L,D,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
40,0,0,1,0.5694932019673242,1.1666666666666667,0.6,0.2,0.19999999999999996,0.2,0.0,0.8,0.6666666666666666,0.0,0.33333333333333337,0.0,0.0,1.0,W,D,L,L,W,W,L,L,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
41,1,0,0,0.4864631894434195,1.0,0.2,0.2,0.6,0.4,0.0,0.6,0.0,0.0,1.0,0.0,0.0,1.0,D,L,L,W,L,L,L,L,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
42,1,0,0,0.4704617595502805,1.0,0.2,0.2,0.6,0.5,0.0,0.5,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,1.0,L,L,W,W,L,D,L,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
43,0,1,0,0.456559350855788,1.0,0.2,0.2,0.6,0.6,0.0,0.4,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.0,0.6666666666666667,L,D,W,W,D,W,W,L,,,,,,,,,,,,,,,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
44,0,1,0,0.4740196447089056,1.3333333333333333,0.2,0.2,0.6,0.4,0.2,0.3999999999999999,0.3333333333333333,0.0,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666667,W,D,W,D,W,L,W,L,,,,,,,,,,,,,,,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
45,0,0,1,0.4716703576872765,0.75,0.0,0.2,0.8,0.2,0.2,0.6,0.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666667,L,D,D,W,L,L,W,L,,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
46,1,0,0,0.4991014644092378,1.0,0.4,0.0,0.6,0.4,0.0,0.6,0.3333333333333333,0.0,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666667,L,W,W,W,L,W,W,L,,,,,,,,,,,,,,,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
47,0,0,1,0.5403243072651441,1.0,0.6,0.2,0.19999999999999996,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.0,0.6666666666666667,W,D,L,W,D,W,L,W,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
48,0,0,1,0.5139745966403425,1.1428571428571428,0.4,0.2,0.3999999999999999,0.4,0.0,0.6,0.3333333333333333,0.0,0.6666666666666667,0.6666666666666666,0.0,0.33333333333333337,W,L,W,L,L,W,W,W,,,,,,,,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
49,0,1,0,0.5282923640701919,1.1666666666666667,0.6666666666666666,0.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.33333333333333337,W,W,D,W,W,W,W,D,0.8,,0.4,,0.19999999999999996,0.19999999999999996,0.19999999999999996,,0.0,,0.4,0.4,,,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
50,1,0,0,0.5267795247130499,0.8571428571428571,0.5,0.16666666666666666,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.33333333333333337,W,W,W,D,D,W,D,W,0.6,,0.4,,0.19999999999999996,0.19999999999999996,0.3999999999999999,,0.2,,0.2,0.2,,,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
51,0,1,0,0.4597996338566837,0.8571428571428571,0.3333333333333333,0.16666666666666666,0.5,0.5,0.3333333333333333,0.16666666666666674,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.33333333333333337,D,W,D,W,L,L,D,W,0.4,,0.6,,0.3999999999999999,0.3999999999999999,0.0,,0.2,,0.4,0.4,,,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
52,0,1,0,0.48749453194183445,1.0,0.4,0.0,0.6,0.5,0.0,0.5,0.6666666666666666,0.0,0.33333333333333337,0.0,0.0,1.0,L,W,W,L,W,W,L,L,,,0.6,,,,0.4,,,,0.0,0.0,,,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
53,1,0,0,0.5298151447314925,0.8571428571428571,0.2,0.4,0.3999999999999999,0.16666666666666666,0.16666666666666666,0.6666666666666667,0.0,0.5,0.5,0.0,0.0,1.0,D,L,L,L,D,,L,L,,,0.2,,,,0.6,,,,0.2,0.2,,,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
54,0,1,0,0.5104624007392576,1.1666666666666667,0.3333333333333333,0.0,0.6666666666666667,0.16666666666666666,0.16666666666666666,0.6666666666666667,0.6666666666666666,0.0,0.33333333333333337,0.0,0.3333333333333333,0.6666666666666667,L,L,L,W,W,W,D,L,0.4,,0.2,,0.6,0.6,0.6,,0.0,,0.2,0.2,,,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
